timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.057,92.0,81.1,242.2,70.8,0.809,0.171,0.584,-0.21,0.39,0.94,left_turn
0.328,91.5,81.1,242.0,71.1,0.816,0.156,0.54,1.63,0.49,0.63,left_turn
0.687,95.9,81.6,153.3,85.6,0.775,0.157,0.746,-114.06,3.54,-4.46,left_turn
1.041,90.6,78.5,152.3,72.3,0.706,0.084,0.673,13.03,15.93,3.14,left_turn
1.313,86.0,65.8,234.9,97.0,0.877,0.16,0.636,10.84,-16.19,9.49,left_turn
1.589,86.3,71.0,239.8,107.3,0.566,0.112,0.669,17.16,19.27,-5.5,left_turn
1.955,80.2,64.0,183.9,111.4,0.729,0.223,0.486,8.99,-11.89,14.5,left_turn
2.483,77.7,58.9,226.5,126.9,0.6,0.098,0.638,17.92,18.23,16.08,left_turn
3.094,97.1,99.1,93.4,74.9,0.668,0.229,0.603,32.92,26.02,46.96,left_turn
3.713,136.5,158.7,63.5,94.9,0.813,0.19,0.55,23.05,1.34,50.08,left_turn
4.332,145.7,158.4,67.0,90.6,0.534,0.223,1.676,-20.89,-2.31,15.56,left_turn
4.951,163.8,155.3,66.7,98.0,0.555,1.429,1.858,162.96,-5.9,16.13,left_turn
5.587,200.9,170.2,74.4,167.1,0.712,0.242,0.568,25.5,10.47,18.41,left_turn
6.234,151.3,168.0,166.6,144.8,0.754,0.245,0.583,14.59,-3.21,9.85,left_turn
6.857,171.3,155.5,87.3,89.1,0.792,0.224,0.64,-12.46,-3.34,-32.11,left_turn
7.358,108.6,95.3,136.0,42.4,0.818,0.059,0.525,-25.6,-22.39,-46.62,left_turn
7.867,106.2,92.9,178.2,39.7,0.759,0.248,0.687,31.71,7.69,-1.64,left_turn
8.369,101.7,89.3,159.5,37.1,0.713,0.034,0.769,-14.14,4.62,14.98,left_turn
8.888,91.5,76.9,226.1,71.0,0.777,0.044,0.598,32.01,5.03,45.96,left_turn
9.395,112.0,74.8,123.8,91.8,0.7,0.071,0.685,23.08,6.03,5.96,left_turn
9.898,113.1,93.0,106.7,96.0,0.821,0.096,0.552,13.27,-15.48,16.68,left_turn
10.25,124.6,110.3,99.3,72.2,0.71,0.07,0.662,21.95,12.35,15.98,left_turn
10.754,143.9,104.1,100.3,77.1,0.806,0.086,0.623,18.75,11.34,30.97,left_turn
11.406,184.8,268.3,71.1,92.4,0.817,0.141,0.485,20.6,-6.34,37.97,left_turn
12.042,159.6,149.4,172.8,100.2,0.756,0.12,0.642,30.39,6.79,27.7,left_turn
12.321,145.8,132.9,194.5,107.2,0.773,0.121,0.61,1.26,1.73,1.03,left_turn
12.842,144.0,88.9,194.4,106.9,0.77,0.173,0.601,6.89,1.97,3.56,left_turn
13.483,111.8,143.7,194.9,106.0,0.774,0.155,0.612,14.14,-0.11,4.2,left_turn
