timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.317,21.4,24.7,114.1,56.5,0.887,0.042,0.504,-3.98,1.15,0.12,step_up
0.574,21.4,26.7,113.8,166.0,0.892,0.061,0.517,-7.92,-0.26,0.38,step_up
1.092,20.8,44.7,114.3,56.0,0.891,-0.068,0.518,-25.26,0.78,3.89,step_up
1.614,19.0,40.3,114.5,56.3,0.907,-0.504,-0.885,-47.22,1.84,-20.11,step_up
2.131,17.6,24.3,122.4,43.8,0.958,-0.032,0.396,-15.8,-14.96,-3.08,step_up
2.647,16.9,33.6,114.7,42.3,0.996,-0.022,0.176,1.67,-11.92,-7.82,step_up
3.162,17.5,30.9,112.9,40.1,1.039,0.012,0.127,13.81,-17.05,-2.48,step_up
3.488,12.9,28.5,63.1,39.7,1.026,0.134,-0.025,0.92,-10.45,1.63,step_up
4.003,12.3,29.0,111.3,40.7,1.062,-0.063,0.011,10.88,-7.32,-0.35,step_up
4.333,12.3,28.4,82.8,40.3,1.057,0.096,-0.028,-14.01,2.74,0.46,step_up
4.845,12.1,28.7,100.8,42.3,1.095,0.034,-0.017,95.19,-4.01,0.69,step_up
5.361,24.2,29.3,111.1,43.8,0.914,0.045,-0.043,12.49,-4.32,-0.71,step_up
5.596,36.1,31.3,110.8,49.4,0.719,0.049,-0.058,7.56,4.88,5.21,step_up
5.831,34.6,27.0,110.7,51.3,1.061,0.023,-0.11,-8.8,-2.62,3.51,step_up
6.067,35.3,25.7,108.3,52.0,0.913,0.073,-0.154,0.6,6.5,-3.32,step_up
6.301,33.5,23.2,104.6,50.2,0.92,0.024,-0.038,-6.12,3.86,1.53,step_up
6.536,30.6,27.3,105.2,48.3,1.18,0.072,0.006,-18.71,3.4,3.55,step_up
6.769,25.8,16.6,107.8,40.8,0.927,0.048,-0.033,-20.19,7.76,-16.15,step_up
7.004,9.9,29.5,109.8,39.6,1.017,-0.12,-0.096,-29.97,1.74,-2.1,step_up
7.237,12.4,17.3,108.6,40.1,1.073,0.018,0.017,-1.27,5.31,5.93,step_up
7.832,83.2,29.7,107.3,40.1,1.197,-0.145,0.164,15.53,-4.01,3.95,step_up
8.063,11.9,23.9,112.8,37.7,1.073,-0.033,0.007,-38.15,-3.47,4.53,step_up
8.294,11.9,19.6,114.0,37.2,1.062,-0.143,0.174,-12.05,-4.85,0.7,step_up
8.524,12.4,19.6,112.5,38.1,1.061,-0.035,-0.105,-0.33,0.63,-0.93,step_up
8.756,12.1,28.4,115.0,38.0,1.254,0.062,-0.007,-52.11,-7.09,3.27,step_up
8.988,16.3,29.9,112.5,37.8,1.022,-0.045,-0.188,7.37,-1.8,-0.44,step_up
9.22,22.9,29.5,111.6,38.3,1.044,-0.052,0.021,-5.38,-1.83,-7.6,step_up
9.457,31.6,34.3,110.0,39.4,0.978,0.015,-0.063,3.53,3.53,-0.42,step_up
9.789,36.9,31.1,87.4,42.8,0.914,-0.012,-0.078,-8.79,10.82,4.05,step_up
10.024,29.5,23.4,108.2,45.7,1.184,-0.083,0.02,6.93,-3.77,-2.56,step_up
10.257,28.6,19.1,112.2,49.5,1.001,-0.014,-0.041,17.56,4.43,-3.34,step_up
10.493,24.2,17.1,113.4,56.4,0.913,0.003,0.042,-3.04,2.56,1.33,step_up
10.726,20.4,16.4,112.3,49.2,1.054,-0.033,0.01,0.15,0.78,1.85,step_up
