timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.428,68.1,400.0,128.9,400.0,0.708,0.234,0.634,-23.44,0.4,4.41,obstacle_avoid
1.03,81.3,90.4,214.6,400.0,0.793,0.419,0.529,-31.22,-11.45,-58.73,obstacle_avoid
1.722,98.2,400.0,400.0,400.0,0.836,0.139,0.536,-12.36,-31.91,-23.65,obstacle_avoid
2.395,64.8,400.0,98.7,400.0,0.735,0.374,0.658,12.27,-0.28,-0.05,obstacle_avoid
2.694,58.1,44.1,220.9,56.2,0.92,0.323,0.517,58.57,27.87,56.23,obstacle_avoid
3.007,69.1,400.0,192.8,54.9,0.819,0.382,0.342,38.03,15.75,41.53,obstacle_avoid
3.32,60.9,400.0,192.9,51.5,0.814,0.292,0.5,19.45,5.85,2.58,obstacle_avoid
3.733,62.5,400.0,194.5,49.8,0.786,0.255,0.571,-0.59,2.4,6.87,obstacle_avoid
4.188,62.2,400.0,213.0,30.9,0.831,0.413,0.5,-22.51,-4.16,-18.46,obstacle_avoid
4.765,25.6,12.7,99.9,400.0,0.836,0.14,0.528,-35.27,-22.99,-52.51,obstacle_avoid
5.361,9.9,12.6,400.0,400.0,0.798,0.268,0.514,0.05,1.63,-3.53,obstacle_avoid
5.957,11.0,13.0,400.0,400.0,0.745,0.186,0.759,-5.91,1.64,13.36,obstacle_avoid
6.552,12.6,12.8,400.0,400.0,0.823,0.358,0.485,7.2,4.65,0.98,obstacle_avoid
7.149,11.0,11.5,400.0,400.0,0.804,0.33,0.521,-5.77,-0.56,-9.21,obstacle_avoid
7.745,10.8,11.9,400.0,400.0,0.891,-0.432,1.052,46.31,-15.99,17.2,obstacle_avoid
8.272,17.5,15.6,28.6,400.0,0.798,0.036,0.763,-23.34,-1.57,-16.24,obstacle_avoid
8.811,12.4,12.2,27.2,205.5,0.941,0.124,0.264,-28.2,4.0,-0.25,obstacle_avoid
9.407,12.1,11.5,400.0,400.0,0.871,-0.255,0.456,-77.21,1.11,3.14,obstacle_avoid
9.952,82.2,116.7,24.9,400.0,0.753,0.158,0.613,-13.56,-0.5,-15.78,obstacle_avoid
10.503,39.1,16.9,29.0,400.0,0.825,0.253,0.597,26.54,11.16,30.17,obstacle_avoid
11.03,10.8,16.6,27.3,400.0,0.796,0.157,0.605,-14.27,0.75,7.05,obstacle_avoid
11.607,64.9,115.5,24.1,400.0,0.786,0.241,0.5,9.56,-4.14,-15.73,obstacle_avoid
12.184,63.5,115.3,33.5,400.0,0.805,0.077,0.476,5.9,14.44,26.08,obstacle_avoid
