timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.378,90.4,90.0,227.3,88.3,0.906,-0.086,0.457,2.83,-2.49,1.55,step_down
0.38,82.1,102.5,227.3,87.4,0.917,-0.089,0.439,-4.75,0.27,1.44,step_down
0.66,76.2,102.7,227.5,108.7,0.919,-0.073,0.449,-7.82,0.34,0.17,step_down
0.938,89.7,102.7,227.5,87.3,0.914,-0.093,0.442,-8.6,0.38,-1.02,step_down
1.493,76.4,102.5,227.1,71.7,0.913,-0.12,0.458,-6.08,0.72,-0.24,step_down
1.779,87.8,91.8,232.7,140.5,0.858,-0.037,0.382,33.5,0.53,5.87,step_down
2.408,93.7,146.7,79.4,148.5,0.96,-0.003,0.397,86.63,-10.64,12.95,step_down
3.022,100.4,127.0,63.4,100.7,0.9,-0.026,0.503,18.12,22.42,25.74,step_down
3.636,127.6,115.4,72.6,104.5,0.805,-0.058,0.573,42.67,2.52,37.89,step_down
4.25,134.4,141.9,48.1,104.1,0.794,-0.061,0.573,25.6,-8.43,32.63,step_down
4.875,117.0,133.8,71.4,127.4,0.754,-0.06,0.485,1.32,7.81,-6.21,step_down
5.499,68.0,163.0,72.9,122.3,0.891,-0.047,0.548,8.84,-2.34,12.89,step_down
6.123,54.8,175.1,56.3,117.0,0.843,-0.112,0.584,-1.37,0.07,1.6,step_down
6.744,203.3,161.3,54.2,108.1,0.914,-0.072,0.52,33.19,-7.25,3.11,step_down
7.402,158.7,400.0,52.7,104.3,0.869,0.029,0.526,28.06,15.29,23.41,step_down
8.008,151.3,115.6,33.4,103.4,0.799,0.055,0.775,33.75,-4.4,19.34,step_down
8.613,143.8,120.3,19.6,102.9,0.921,-0.015,0.415,-2.33,-2.55,1.27,step_down
9.012,132.9,400.0,59.8,105.1,0.934,-0.068,0.413,-24.71,-3.03,-12.83,step_down
9.407,124.9,400.0,46.3,106.8,0.944,0.056,0.391,-15.12,2.15,-9.47,step_down
9.704,138.7,400.0,58.6,106.3,0.933,0.03,0.385,-8.34,5.54,1.49,step_down
10.36,152.5,400.0,47.7,106.0,0.913,0.035,0.517,11.8,2.18,3.53,step_down
10.655,129.7,400.0,47.8,104.9,0.942,0.026,0.37,7.94,2.43,3.08,step_down
10.952,130.4,400.0,59.0,105.0,0.942,-0.017,0.388,22.11,-3.82,3.29,step_down
11.447,123.0,108.8,25.3,104.5,0.966,-0.015,0.163,29.07,3.02,-0.13,step_down
11.742,132.8,400.0,48.4,103.5,0.923,0.039,0.61,-5.66,1.88,-4.0,step_down
12.036,139.5,400.0,48.3,104.1,0.925,0.059,0.419,-11.97,1.43,-5.02,step_down
12.331,152.1,400.0,48.3,103.7,0.919,0.057,0.449,-0.53,0.82,2.5,step_down
12.725,143.7,400.0,28.9,103.0,0.924,0.032,0.517,39.53,-0.98,5.06,step_down
13.02,135.1,400.0,53.2,100.9,0.948,0.192,0.602,-8.53,4.79,2.16,step_down
13.673,195.7,400.0,48.7,81.3,0.951,-0.043,0.257,-2.44,-4.87,-4.45,step_down
14.217,93.1,400.0,47.7,99.0,0.931,-0.027,0.337,-6.27,-19.21,10.44,step_down
14.762,47.9,400.0,47.0,99.4,1.023,-0.043,0.141,-2.28,-7.68,-3.21,step_down
15.308,35.3,400.0,46.0,100.3,1.039,-0.143,0.073,-16.23,-1.63,-0.77,step_down
15.852,35.3,400.0,46.4,100.5,1.052,0.007,0.092,17.8,-2.03,3.47,step_down
16.34,41.1,63.3,45.8,101.8,1.032,-0.017,0.112,6.75,9.49,-1.08,step_down
16.866,61.6,65.4,49.8,104.0,0.981,-0.073,0.174,-6.66,18.37,1.15,step_down
17.414,66.6,400.0,65.1,91.2,0.975,-0.032,0.244,-5.18,13.77,-26.11,step_down
17.71,86.2,400.0,64.4,87.1,0.969,-0.063,0.334,-43.15,18.94,1.15,step_down
18.006,111.8,400.0,63.2,87.3,0.953,-0.121,0.404,5.95,10.92,6.49,step_down
18.661,173.0,400.0,65.2,78.1,0.694,-0.113,0.298,-11.96,13.11,2.47,step_down
19.293,299.7,48.7,62.7,57.8,0.711,-0.121,0.19,6.92,-17.23,0.47,step_down
19.94,138.4,400.0,29.2,72.4,0.861,-0.128,0.474,9.29,-8.01,2.27,step_down
20.488,83.3,400.0,56.7,97.9,0.919,-0.239,0.41,-16.97,-4.66,2.44,step_down
21.036,81.3,400.0,59.1,99.2,0.89,-0.072,0.555,2.11,5.24,-4.57,step_down
21.646,148.4,111.2,59.9,99.6,0.983,-0.187,0.807,30.86,-2.15,0.77,step_down
22.303,147.2,386.7,69.4,89.7,0.834,-0.143,0.363,17.61,-2.23,-20.13,step_down
22.961,148.2,400.0,65.5,92.8,0.952,-0.072,0.462,2.34,3.02,0.79,step_down
23.62,259.3,400.0,65.9,94.3,0.824,0.005,0.59,7.85,2.19,1.85,step_down
24.274,238.4,400.0,64.7,75.6,0.776,-0.072,0.254,14.87,-4.1,3.31,step_down
25.052,157.1,400.0,11.5,80.9,0.898,-0.067,0.511,19.12,-1.46,9.95,step_down
