timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.066,107.8,319.4,62.7,58.0,0.921,0.024,0.388,-9.47,0.37,-1.68,step_down
0.344,97.9,319.5,62.3,67.3,0.969,-0.078,0.32,-4.82,1.07,-0.37,step_down
0.626,112.0,318.7,49.7,99.4,0.966,-0.09,0.403,31.86,2.38,3.0,step_down
0.903,114.7,318.9,50.2,76.8,0.94,-0.015,0.433,-38.99,-8.85,-4.81,step_down
1.157,111.9,169.3,47.5,101.6,0.903,0.15,0.395,127.43,41.11,12.91,step_down
1.438,117.0,319.0,47.8,101.7,0.966,-0.087,0.475,-7.23,-12.91,-2.99,step_down
1.72,118.3,319.3,48.4,99.3,0.917,0.065,0.444,-33.66,-8.82,-3.19,step_down
2.004,121.8,317.7,53.5,94.1,0.976,0.149,0.473,-15.5,4.98,-18.3,step_down
2.288,133.8,316.5,55.1,95.0,0.877,0.152,0.597,12.88,-49.17,21.21,step_down
2.533,169.7,91.8,52.4,104.5,0.724,-0.009,0.28,38.57,9.76,24.29,step_down
2.817,135.9,313.6,52.8,103.6,1.055,-0.522,0.787,-36.21,-18.4,-15.72,step_down
3.061,139.3,91.2,55.1,101.3,0.827,0.106,0.731,-28.65,6.37,-12.69,step_down
3.323,187.9,190.2,59.1,95.2,0.801,0.162,0.25,15.63,7.63,-8.34,step_down
3.604,130.5,302.4,63.1,94.5,0.826,0.117,0.549,-8.4,3.83,-8.32,step_down
3.884,121.5,297.8,70.4,89.6,1.019,0.238,0.394,10.11,-5.26,-10.42,step_down
4.161,71.6,299.0,66.9,89.7,0.964,0.127,0.892,19.16,-12.08,8.49,step_down
4.44,82.3,295.6,67.3,90.3,0.892,0.14,0.485,-22.89,20.87,0.15,step_down
4.717,122.5,294.3,69.2,88.3,1.939,1.387,-1.114,-25.11,44.61,68.33,step_down
4.997,94.1,293.1,67.2,97.6,0.919,-0.05,0.646,20.44,-56.94,31.27,step_down
5.254,159.2,159.7,59.7,102.0,0.82,0.13,0.127,4.44,-22.86,25.13,step_down
5.502,118.4,118.6,58.3,104.7,0.945,-0.204,0.697,-6.09,-55.02,-13.76,step_down
5.798,144.2,96.3,58.8,-1.0,0.76,0.078,0.302,14.17,-3.75,27.52,step_down
6.061,85.1,97.8,60.4,111.0,0.809,0.341,0.459,-19.66,64.44,24.59,step_down
6.304,138.8,82.1,53.9,105.6,0.731,0.123,0.299,-29.64,-4.27,-24.27,step_down
6.551,131.3,110.9,60.1,104.6,1.02,0.01,0.26,-58.93,-28.73,-3.45,step_down
6.83,129.7,282.8,53.6,104.4,0.918,0.107,0.473,-26.83,-5.67,-11.62,step_down
7.079,132.3,110.6,53.9,106.5,0.899,0.088,0.583,-35.08,-16.37,-8.76,step_down
7.337,157.9,161.9,59.4,108.3,0.678,0.097,0.404,-16.85,1.51,-11.08,step_down
7.602,129.6,213.9,57.2,99.2,1.053,0.227,0.386,-12.85,-19.18,-14.33,step_down
7.853,78.8,125.5,57.2,102.1,2.0,0.323,-0.34,-67.46,108.92,-36.08,step_down
8.134,76.7,123.1,59.8,62.3,0.834,0.173,0.41,-15.83,17.79,-5.43,step_down
8.391,97.1,170.0,63.2,96.4,0.536,0.614,0.738,37.88,-146.27,2.4,step_down
8.646,103.3,167.3,64.7,89.0,0.778,0.182,0.478,-18.89,11.47,-2.08,step_down
8.917,128.5,259.7,69.1,88.3,0.781,0.545,0.164,79.82,37.02,8.47,step_down
9.188,140.8,260.3,68.9,80.0,0.853,0.158,0.558,4.89,8.98,9.6,step_down
9.436,139.0,115.4,61.9,96.8,0.989,-0.058,0.523,13.14,26.5,34.67,step_down
9.676,135.4,88.2,17.3,120.4,-0.848,2.0,2.0,250.13,74.54,229.03,step_down
9.953,87.9,85.0,50.6,143.6,0.833,0.034,0.485,22.38,2.65,25.82,step_down
10.205,125.4,84.4,64.0,144.4,1.219,0.284,0.692,250.13,140.65,-57.27,step_down
10.552,125.4,-1.0,61.1,-1.0,0.826,0.176,0.465,-14.14,-5.18,6.55,step_down
10.807,63.2,106.5,56.3,146.6,0.713,0.015,0.828,-116.98,-36.79,-28.59,step_down
11.056,139.0,76.0,68.5,123.8,0.784,0.229,0.474,-49.4,-5.47,-38.33,step_down
11.297,105.3,77.3,62.8,96.7,0.585,-1.139,2.0,-126.36,-104.53,-44.08,step_down
11.542,93.4,96.1,56.9,93.3,0.784,0.163,0.543,-26.42,0.07,-17.09,step_down
11.786,93.7,97.7,57.5,90.6,0.953,0.222,0.322,-10.56,-14.61,-12.93,step_down
12.028,74.1,100.8,57.4,88.8,0.762,0.75,0.202,52.47,5.0,-15.63,step_down
12.294,76.4,237.9,60.0,87.0,0.9,0.205,0.541,-31.76,7.89,-2.87,step_down
12.56,89.7,235.4,62.1,85.8,1.026,0.646,0.614,7.18,13.86,100.68,step_down
12.826,89.1,234.6,65.6,81.0,0.877,0.19,0.652,-14.85,-28.92,-11.51,step_down
13.095,105.6,234.2,73.4,76.6,0.79,0.132,0.236,-2.4,2.34,-22.82,step_down
13.364,101.3,235.1,72.1,76.6,0.826,0.19,0.616,19.55,1.89,12.11,step_down
13.631,101.1,232.6,63.7,89.4,0.931,0.009,0.502,16.01,-5.73,39.46,step_down
13.872,102.8,91.7,42.5,93.7,2.0,0.446,-0.464,0.85,250.13,-165.89,step_down
14.11,91.8,89.2,19.1,103.2,0.886,0.074,0.449,35.25,15.24,22.12,step_down
14.413,93.5,61.0,-1.0,108.4,1.444,0.5,-0.097,250.13,219.1,-118.36,step_down
14.718,85.4,60.7,-1.0,111.1,0.916,0.192,0.231,13.84,22.61,2.92,step_down
14.958,81.7,60.5,52.5,107.1,0.918,0.116,0.497,-32.14,-7.27,-4.84,step_down
15.2,99.1,77.9,59.8,99.9,0.692,0.111,0.431,0.31,22.93,-10.81,step_down
15.465,104.2,212.4,65.1,98.1,0.945,0.122,0.45,-15.02,1.84,-15.21,step_down
15.729,91.2,206.8,59.2,95.1,0.913,0.14,0.397,-3.18,-9.27,-5.95,step_down
15.994,77.7,208.0,60.1,96.0,1.021,0.239,0.362,-9.56,-20.77,-5.82,step_down
