timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.18,38.4,63.0,94.9,106.6,0.687,0.121,0.734,-14.4,0.27,-11.79,step_up
0.438,37.8,58.9,101.0,56.7,0.729,0.099,0.668,0.59,12.5,5.29,step_up
0.677,41.6,56.2,90.2,56.4,0.765,0.081,0.622,-4.11,-1.2,8.68,step_up
0.954,39.8,56.3,89.4,74.7,0.76,0.064,0.618,-5.78,-6.31,7.31,step_up
1.214,35.9,57.2,86.8,76.0,0.749,0.109,0.761,-13.54,-1.6,4.65,step_up
1.494,46.3,57.3,90.2,92.6,0.599,0.157,0.479,9.42,14.6,-13.66,step_up
1.788,36.7,37.3,105.1,-1.0,0.75,0.119,0.359,-211.44,-71.13,35.4,step_up
2.029,36.3,57.5,102.3,74.8,0.716,-0.022,0.523,-3.11,17.81,-7.39,step_up
2.306,35.6,43.2,107.0,70.8,0.762,0.542,0.648,-150.7,-51.67,49.0,step_up
2.543,34.7,55.1,89.2,59.4,0.683,-0.154,0.419,-15.84,-7.33,15.99,step_up
2.777,28.9,49.6,80.1,66.4,0.668,0.114,0.456,61.22,69.24,0.24,step_up
3.009,27.7,43.5,74.9,68.9,-0.228,0.121,0.512,-250.14,107.88,98.07,step_up
3.243,22.3,42.9,75.2,69.1,0.899,-0.147,0.262,90.29,89.18,50.08,step_up
3.475,22.9,43.6,70.9,72.1,0.833,-0.036,0.65,6.35,5.38,19.42,step_up
3.708,48.1,45.9,73.9,71.5,0.721,-0.016,0.677,-20.17,-105.81,0.21,step_up
3.939,47.4,48.2,65.5,71.5,0.587,1.051,-1.242,59.86,158.93,60.79,step_up
4.173,51.8,66.0,61.9,71.6,0.568,-0.042,0.706,-0.98,22.18,12.68,step_up
4.407,60.7,67.9,64.9,64.6,0.652,-0.025,0.557,-6.66,8.27,-16.24,step_up
4.637,46.3,44.7,66.5,68.0,0.503,0.132,0.423,-16.36,-82.21,-22.99,step_up
4.867,46.2,43.7,66.5,68.2,0.687,-0.132,0.791,-21.28,-14.97,-6.41,step_up
5.097,45.7,43.7,66.7,67.4,0.714,-0.127,0.629,-15.18,-4.72,-3.15,step_up
5.327,45.1,43.2,66.4,68.0,0.704,-0.102,0.686,4.95,4.2,-1.31,step_up
5.557,45.6,42.7,66.2,68.2,0.711,-0.156,0.675,-1.22,2.05,0.08,step_up
5.787,45.4,44.5,66.2,68.1,0.716,-0.184,0.69,-4.04,-0.13,-0.02,step_up
6.017,45.6,44.1,66.4,68.2,0.711,-0.162,0.676,-5.41,0.08,-0.53,step_up
6.247,45.5,44.5,66.5,68.1,0.71,-0.135,0.664,2.92,1.09,0.48,step_up
6.477,45.4,42.7,66.3,68.5,0.709,-0.129,0.687,7.32,1.87,2.29,step_up
6.707,45.0,43.1,66.8,68.1,0.706,-0.145,0.688,-1.76,1.69,1.53,step_up
6.937,45.8,42.7,66.6,68.1,0.707,-0.136,0.673,-2.08,-0.59,2.14,step_up
7.168,46.1,42.7,66.8,67.6,0.697,-0.132,0.683,-29.66,-7.36,-0.47,step_up
7.397,46.1,43.9,67.1,67.0,0.702,-0.138,0.663,-4.42,0.48,2.11,step_up
7.628,45.9,43.4,67.6,67.4,0.72,-0.19,0.659,-4.1,1.32,-3.14,step_up
7.859,42.6,43.1,69.3,64.7,0.829,-0.314,0.577,90.03,55.29,6.16,step_up
8.092,43.4,47.6,74.2,57.2,0.725,-0.167,0.653,-2.31,11.1,-8.19,step_up
8.324,48.6,55.1,83.0,50.7,0.751,-0.203,0.628,-23.47,2.08,-15.95,step_up
