timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.265,56.7,-1.0,60.0,158.5,0.769,0.293,0.569,-9.76,-3.15,-1.27,walking
0.656,56.5,-1.0,83.9,-1.0,0.758,0.381,0.568,1.51,0.76,-22.79,walking
1.046,60.6,56.2,-1.0,-1.0,0.768,0.204,0.636,-3.12,6.96,10.02,walking
1.439,66.2,-1.0,-1.0,96.1,0.68,0.39,0.566,4.17,4.49,12.59,walking
1.735,57.2,-1.0,67.1,95.9,0.71,0.314,0.628,-5.5,-10.4,19.61,walking
2.088,57.4,-1.0,337.3,88.1,0.72,0.396,0.603,-24.37,14.39,-15.73,walking
2.467,77.7,-1.0,288.3,279.7,0.842,0.112,0.486,-20.56,-31.79,-43.4,walking
2.815,57.0,-1.0,364.0,54.1,0.519,0.244,0.775,18.12,27.71,16.48,walking
3.167,76.2,-1.0,-1.0,71.0,0.8,0.433,0.507,2.44,13.37,30.86,walking
3.522,65.6,-1.0,-1.0,72.4,0.914,0.373,0.623,-7.57,-23.8,14.55,walking
3.864,54.9,-1.0,328.5,84.4,0.745,0.308,0.545,-12.74,30.79,-28.67,walking
4.217,77.2,-1.0,-1.0,56.9,0.87,0.112,0.522,8.18,-11.39,-46.49,walking
4.543,58.2,192.5,246.2,154.1,1.04,0.154,0.585,-7.59,-12.82,3.76,walking
4.891,73.6,-1.0,273.8,188.7,0.826,0.384,0.433,8.01,26.09,21.07,walking
5.239,69.1,-1.0,66.7,-1.0,0.857,0.448,0.599,21.11,-1.26,31.13,walking
5.567,54.0,-1.0,157.1,181.1,0.625,0.358,0.63,-7.34,11.04,-6.41,walking
5.909,76.3,-1.0,300.6,114.8,0.791,0.238,0.463,-15.56,-7.56,-47.08,walking
6.227,64.9,136.4,246.7,120.5,0.98,-1.209,2.0,-200.33,-76.4,-157.37,walking
6.558,56.6,-1.0,216.3,150.6,0.837,0.292,0.56,25.1,34.73,26.01,walking
6.929,72.5,-1.0,195.8,-1.0,0.739,0.306,0.469,24.64,4.27,30.78,walking
7.286,55.8,-1.0,114.2,-1.0,0.569,0.417,0.539,13.83,-8.13,8.27,walking
7.632,65.6,-1.0,159.2,60.8,0.768,0.246,0.452,-4.93,-8.52,-48.27,walking
8.041,57.5,-1.0,-1.0,-1.0,0.715,0.738,0.537,21.76,3.98,7.19,walking
8.416,65.4,-1.0,220.7,-1.0,0.734,0.382,0.486,8.6,28.05,29.64,walking
8.756,64.9,137.3,111.8,-1.0,0.818,0.475,0.516,19.28,-0.92,37.63,walking
9.123,55.7,-1.0,171.8,-1.0,0.784,0.468,0.591,-11.39,3.21,-20.51,walking
9.483,69.2,-1.0,125.0,-1.0,0.754,0.255,0.466,-18.97,-16.34,-32.4,walking
9.892,56.2,-1.0,-1.0,-1.0,0.506,0.092,0.557,-22.37,-26.03,3.05,walking
10.257,72.1,-1.0,161.8,-1.0,0.655,0.277,0.449,46.27,42.05,33.15,walking
10.612,73.3,-1.0,106.7,-1.0,0.819,0.256,0.47,12.5,-5.32,44.46,walking
10.984,56.3,-1.0,94.8,-1.0,0.639,0.373,0.636,-15.44,21.02,-27.34,walking
11.394,76.0,-1.0,-1.0,-1.0,0.824,0.184,0.559,-23.45,-27.79,-46.75,walking
11.804,52.1,-1.0,-1.0,-1.0,0.826,0.003,0.642,11.18,20.83,18.54,walking
12.214,67.8,-1.0,-1.0,-1.0,0.793,0.254,0.569,49.32,13.62,42.16,walking
12.625,56.9,-1.0,-1.0,-1.0,0.898,-0.244,0.734,-81.87,-40.5,-26.48,walking
13.034,66.0,-1.0,-1.0,-1.0,0.747,0.318,0.463,0.82,-1.79,-45.35,walking
13.424,63.5,210.4,-1.0,-1.0,0.756,0.378,0.55,-10.11,-24.13,-10.6,walking
13.834,61.7,-1.0,-1.0,-1.0,0.694,0.41,0.547,25.87,44.54,29.49,walking
14.163,71.9,-1.0,62.9,87.7,0.763,0.567,0.456,22.27,10.08,41.4,walking
14.512,57.3,-1.0,70.7,-1.0,0.739,0.689,0.448,-61.09,-27.04,-8.51,walking
14.922,67.6,-1.0,-1.0,-1.0,0.777,0.178,0.436,-90.75,-36.86,-55.85,walking
15.32,58.7,-1.0,313.2,-1.0,1.08,0.218,1.536,-47.53,-28.27,-18.29,walking
15.723,64.5,-1.0,290.7,-1.0,0.667,0.425,0.542,17.36,47.63,34.4,walking
16.05,73.4,68.7,65.1,-1.0,0.784,0.555,0.383,25.77,-0.56,41.69,walking
16.403,59.6,-1.0,86.8,-1.0,0.733,0.477,0.485,-24.59,-10.02,-27.47,walking
16.795,62.6,-1.0,117.6,-1.0,0.812,0.374,0.527,-25.04,-20.71,-43.48,walking
17.205,56.7,-1.0,-1.0,-1.0,0.61,0.377,0.69,-18.12,7.25,-3.53,walking
17.615,79.2,-1.0,-1.0,-1.0,0.687,0.457,0.54,20.81,23.37,25.6,walking
17.958,66.5,274.0,78.4,-1.0,0.993,0.507,0.409,10.44,0.61,43.8,walking
18.308,58.8,363.8,89.3,-1.0,0.623,0.491,0.599,-20.99,2.15,-25.11,walking
18.712,71.7,352.1,-1.0,-1.0,0.708,0.405,0.583,-24.13,-21.34,-39.98,walking
19.113,58.8,333.9,-1.0,-1.0,0.747,0.096,0.855,-28.7,-10.56,-0.81,walking
19.508,79.4,303.7,-1.0,-1.0,0.659,0.322,0.596,14.0,24.79,28.61,walking
19.84,81.7,264.6,87.6,-1.0,0.777,0.435,0.484,18.07,14.14,42.76,walking
20.184,59.9,258.9,80.9,-1.0,0.701,0.345,0.653,1.44,3.81,-3.73,walking
20.559,77.4,192.6,-1.0,-1.0,0.749,0.339,0.579,-31.47,-8.26,-36.46,walking
20.913,87.7,169.1,-1.0,74.3,0.701,0.21,0.524,3.0,-13.15,-21.18,walking
21.282,61.0,155.4,-1.0,-1.0,0.505,-0.05,0.702,18.77,15.91,-0.31,walking
21.63,83.5,126.6,121.4,-1.0,0.737,0.226,0.521,31.4,33.0,47.62,walking
21.969,84.3,246.6,60.6,-1.0,0.875,0.354,0.563,42.25,2.73,49.11,walking
22.308,58.5,197.6,76.8,-1.0,0.714,0.361,0.613,-25.96,1.74,-26.48,walking
22.617,74.4,166.7,84.5,142.6,0.783,0.249,0.584,0.23,-5.58,-8.27,walking
22.932,58.6,152.9,-1.0,86.6,0.6,0.037,0.712,15.11,-15.47,15.54,walking
23.21,70.8,169.5,62.0,99.6,0.68,0.251,0.522,3.27,24.4,29.53,walking
23.474,76.2,160.1,73.4,121.8,0.775,0.347,0.594,-3.76,-0.21,22.01,walking
23.756,64.5,58.2,68.8,117.0,0.92,0.489,0.486,-24.99,-24.39,11.85,walking
24.073,56.5,132.8,-1.0,109.5,0.589,0.325,0.653,-24.85,2.99,-21.5,walking
24.387,61.1,111.3,-1.0,110.1,0.905,0.211,0.624,8.73,-6.98,-21.3,walking
24.674,57.9,92.5,355.2,53.3,0.678,0.139,0.941,36.17,34.55,18.82,walking
24.932,73.0,199.5,65.7,71.6,0.729,0.177,0.477,24.11,19.99,33.06,walking
25.225,69.6,-1.0,52.4,86.6,0.897,0.48,0.487,21.98,6.62,32.89,walking
25.51,56.2,195.2,71.9,79.2,0.641,0.51,0.666,-10.6,10.36,-18.09,walking
25.821,69.0,146.5,-1.0,58.4,0.758,0.212,0.54,-4.5,-10.69,-43.99,walking
26.127,58.5,136.8,-1.0,49.2,0.731,-1.195,0.929,-37.17,-35.37,-20.85,walking
26.425,34.8,88.3,-1.0,51.9,0.924,-0.238,0.204,39.62,-0.65,31.1,walking
26.727,42.4,109.2,-1.0,44.2,1.01,-0.092,0.394,95.01,22.01,5.82,walking
27.042,34.3,108.2,-1.0,127.4,0.903,-0.084,0.609,161.56,46.95,9.06,walking
27.362,61.2,116.2,-1.0,142.9,0.664,0.347,0.43,46.89,43.1,-17.82,walking
27.664,73.3,79.3,-1.0,80.3,0.615,0.348,0.561,-15.92,-13.73,-20.27,walking
27.966,58.1,83.2,-1.0,84.4,0.346,-0.53,0.948,41.66,1.44,-75.15,walking
28.322,56.3,-1.0,-1.0,84.4,0.688,0.48,0.529,4.97,47.72,24.15,walking
28.612,77.9,-1.0,49.7,87.1,0.714,0.608,0.373,2.6,5.26,21.69,walking
28.903,57.5,-1.0,51.0,84.2,0.474,0.219,0.607,-24.42,-19.37,5.34,walking
29.236,57.4,-1.0,84.5,60.7,0.669,0.594,0.356,-20.82,-12.66,-48.53,walking
29.534,64.7,-1.0,108.3,58.2,0.848,0.463,0.602,-14.12,-35.44,-12.33,walking
29.891,52.7,-1.0,-1.0,95.9,0.557,0.525,0.768,-23.11,-2.44,12.19,walking
30.199,88.7,-1.0,55.0,160.1,0.58,0.481,0.315,31.7,50.44,28.14,walking
30.5,77.2,-1.0,37.9,152.9,0.785,0.656,0.375,-2.29,-17.44,21.55,walking
30.803,55.6,-1.0,66.1,137.8,0.486,0.687,0.41,-48.22,-13.1,-33.21,walking
31.165,81.7,-1.0,-1.0,110.5,0.581,0.587,0.345,-35.33,-29.62,-42.17,walking
31.517,72.8,273.7,-1.0,99.6,0.821,0.453,0.61,-0.4,-43.27,3.91,walking
31.819,63.8,-1.0,79.6,109.2,0.659,0.49,0.495,37.87,58.18,20.46,walking
32.116,75.1,-1.0,59.5,107.4,0.66,0.646,0.404,4.46,18.63,34.76,walking
32.415,59.4,-1.0,56.9,110.5,1.054,0.632,0.321,-14.14,-12.1,3.84,walking
32.752,65.0,-1.0,91.9,85.9,0.63,0.607,0.396,-40.64,-16.71,-42.56,walking
33.104,73.7,-1.0,-1.0,72.1,0.738,0.415,0.452,-25.98,-44.75,-21.26,walking
33.422,61.3,144.4,-1.0,95.3,0.722,0.175,0.708,-0.16,25.86,18.15,walking
33.735,72.9,-1.0,87.8,61.9,0.684,0.483,0.44,38.29,36.53,40.5,walking
34.088,54.0,-1.0,-1.0,65.9,0.389,-0.244,0.828,-12.05,-15.32,2.54,walking
