timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.294,62.1,56.6,400.0,400.0,0.78,0.025,0.638,-1.53,0.18,-0.57,obstacle_avoid
0.658,62.2,56.4,400.0,119.1,0.797,0.077,0.817,-20.56,-6.89,-1.92,obstacle_avoid
0.929,63.1,55.1,400.0,148.1,0.676,0.004,0.602,13.21,23.84,27.56,obstacle_avoid
1.24,66.2,56.5,400.0,131.4,0.812,0.159,0.579,24.77,-13.31,20.89,obstacle_avoid
1.547,66.9,56.1,400.0,126.5,0.852,0.144,0.875,-23.67,5.66,-6.58,obstacle_avoid
1.9,51.0,43.2,400.0,400.0,0.781,-0.012,0.516,-2.05,4.29,-34.22,obstacle_avoid
2.504,41.3,40.2,400.0,400.0,0.783,-0.065,0.484,-21.27,-14.39,-39.69,obstacle_avoid
2.83,45.2,38.7,187.8,194.5,0.739,-0.019,0.5,-30.98,14.87,-41.33,obstacle_avoid
3.483,60.7,76.5,43.6,400.0,0.599,-0.686,0.766,144.56,0.21,-0.64,obstacle_avoid
4.145,28.1,400.0,400.0,400.0,0.924,-0.083,0.482,39.89,-21.91,25.49,obstacle_avoid
4.693,11.5,13.8,400.0,109.4,0.818,-0.129,0.344,24.78,-24.05,24.02,obstacle_avoid
5.242,10.1,10.6,400.0,116.3,0.86,0.079,0.377,20.12,-10.95,0.3,obstacle_avoid
5.787,10.5,11.1,400.0,85.9,0.813,-0.097,0.336,36.95,5.58,35.95,obstacle_avoid
6.28,29.5,60.4,76.6,92.4,0.754,0.096,0.557,22.84,5.78,16.78,obstacle_avoid
6.755,29.7,28.4,67.2,23.0,0.635,0.036,0.341,31.35,14.05,32.74,obstacle_avoid
7.081,50.1,30.0,64.3,53.2,0.837,0.105,0.48,-46.86,1.46,-13.11,obstacle_avoid
7.715,21.2,175.5,166.1,65.2,0.879,0.061,0.665,-43.76,1.81,-8.08,obstacle_avoid
8.379,6.0,99.2,400.0,62.8,0.731,-0.123,0.336,0.5,0.73,6.66,obstacle_avoid
8.922,5.6,34.1,400.0,61.2,0.837,-0.275,0.615,-16.04,-15.44,-20.93,obstacle_avoid
9.462,6.9,7.5,400.0,60.9,0.509,-0.365,0.616,-46.78,-3.83,-14.0,obstacle_avoid
10.003,8.2,10.3,400.0,78.5,0.825,-0.055,0.318,-54.23,-9.32,-51.26,obstacle_avoid
10.451,17.6,400.0,52.6,400.0,0.792,-0.131,0.38,-5.78,20.44,-31.42,obstacle_avoid
10.98,9.2,9.8,38.0,400.0,0.979,-0.155,0.565,103.59,-10.32,11.45,obstacle_avoid
11.53,7.2,9.2,20.8,390.1,0.927,0.313,0.312,16.98,8.08,-1.4,obstacle_avoid
