timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.24,48.8,87.5,158.1,207.3,0.899,-0.061,0.483,-0.82,0.53,0.16,step_up
0.52,48.7,87.5,149.3,207.2,0.892,-0.058,0.482,-1.03,0.45,0.0,step_up
0.803,48.9,87.8,158.7,207.3,0.891,-0.07,0.473,-18.64,1.31,0.31,step_up
1.086,48.5,87.6,156.4,211.2,0.934,0.123,0.533,-23.62,-2.02,0.09,step_up
1.371,50.8,83.8,149.3,234.1,0.896,-0.097,0.557,13.28,16.25,9.64,step_up
1.746,56.6,76.4,138.8,187.2,0.951,-0.024,0.428,-3.6,0.24,12.22,step_up
2.274,49.2,68.3,121.1,231.3,0.804,0.031,0.645,-21.44,5.51,-6.79,step_up
2.795,59.8,54.9,135.6,201.9,0.909,-0.278,0.396,31.58,-21.49,-20.64,step_up
3.284,50.0,44.9,107.2,47.4,0.803,-0.115,0.536,14.05,1.27,30.56,step_up
3.767,34.4,36.3,95.9,51.5,1.027,-0.492,1.453,-116.25,-4.46,-26.85,step_up
4.256,25.7,45.1,110.0,44.3,0.708,-0.17,0.281,43.92,-6.07,-11.51,step_up
4.743,16.1,31.8,119.1,39.8,0.775,0.003,0.281,-23.31,-8.73,5.96,step_up
5.229,24.8,35.5,118.3,46.6,1.094,-0.213,0.117,7.04,-3.35,-10.5,step_up
5.721,14.1,33.8,130.1,59.1,1.032,-0.216,0.039,-32.29,-14.02,-9.28,step_up
6.206,16.3,29.8,118.3,44.8,1.059,-0.602,-0.166,216.08,-26.89,4.31,step_up
6.691,18.2,30.2,117.9,47.6,1.236,-0.147,-0.015,5.35,-8.74,4.23,step_up
7.175,36.7,31.0,113.3,50.3,0.964,-0.087,0.068,-6.05,19.3,-4.63,step_up
7.661,14.1,22.8,110.9,51.7,1.012,-0.056,0.017,34.82,3.6,1.0,step_up
8.175,20.6,29.0,109.7,46.5,0.896,-0.157,-0.148,-21.12,-18.76,11.35,step_up
8.66,13.6,27.8,108.5,48.4,1.043,-0.141,-0.102,-7.66,-5.98,4.82,step_up
8.993,28.0,28.8,95.4,45.6,1.003,-0.181,-0.045,7.78,-0.85,-1.32,step_up
9.476,25.0,16.4,107.2,41.7,0.825,0.742,1.894,-57.76,24.08,-3.15,step_up
9.805,11.6,29.7,81.6,46.3,1.023,-0.117,0.032,-8.0,34.56,14.24,step_up
10.036,23.5,27.9,102.5,47.9,0.913,0.288,1.667,48.75,7.64,8.81,step_up
10.272,16.0,28.9,104.0,45.1,1.277,-0.166,-0.106,5.48,-16.01,-0.6,step_up
10.507,22.5,27.4,107.5,43.9,0.993,-0.278,-0.173,-19.66,-7.2,0.29,step_up
10.743,33.6,27.5,113.5,43.0,0.917,-0.116,0.0,-5.45,27.68,-7.98,step_up
10.997,19.6,33.8,118.7,152.9,1.018,-0.14,-0.076,-36.51,23.01,-12.11,step_up
11.23,20.8,17.0,118.7,40.6,1.009,-0.111,-0.0,-30.85,-15.29,7.31,step_up
11.464,15.6,26.2,113.7,44.1,0.994,-0.835,2.0,61.34,-8.11,-10.76,step_up
11.699,16.5,29.2,113.9,46.0,1.117,-0.112,-0.0,5.55,-5.21,7.31,step_up
11.934,20.6,30.7,117.0,44.1,0.765,-0.289,0.341,19.56,-21.11,-23.18,step_up
12.168,19.5,29.3,105.9,48.3,1.033,-0.128,-0.211,-5.75,-6.66,-3.36,step_up
12.403,18.4,26.6,111.0,47.1,1.104,-0.107,-0.157,27.32,-2.28,7.63,step_up
12.636,15.8,21.5,109.8,54.6,1.054,-0.098,-0.16,39.27,-1.66,-1.31,step_up
12.869,15.3,27.6,97.1,50.6,1.117,-0.12,-0.17,16.26,-6.26,0.69,step_up
13.199,17.1,27.2,83.4,53.9,1.092,-0.163,-0.148,-3.63,-1.6,4.56,step_up
13.436,28.7,29.4,108.4,55.3,0.922,0.008,-0.186,-11.87,22.4,-9.0,step_up
13.671,29.8,26.9,107.9,51.2,0.907,-0.307,-0.216,-49.99,14.49,-14.95,step_up
13.905,12.0,21.2,103.6,55.8,1.126,-0.096,-0.036,7.93,6.36,1.51,step_up
14.139,22.5,25.2,99.9,56.3,1.077,0.079,0.109,33.63,-8.86,4.5,step_up
14.373,12.3,27.6,98.6,58.6,1.076,-0.08,-0.004,-8.19,-4.6,-1.83,step_up
14.608,13.4,24.7,96.8,63.3,1.135,-0.094,-0.045,-1.08,-4.16,3.08,step_up
14.843,16.9,30.1,97.0,65.3,0.979,-0.077,0.016,23.36,-9.98,3.73,step_up
15.078,26.4,29.9,97.6,62.7,1.134,-0.062,-0.032,-3.28,-3.92,4.49,step_up
15.313,31.1,28.5,91.5,59.0,0.949,-0.005,-0.018,-6.29,21.04,-14.01,step_up
15.782,24.1,26.4,89.5,57.0,1.051,-0.023,-0.019,-3.01,24.07,-10.32,step_up
15.783,14.0,31.1,89.2,48.3,1.051,-0.039,0.015,0.4,7.15,-0.69,step_up
16.018,21.4,25.8,89.1,57.0,1.158,0.005,0.084,0.64,4.81,-0.91,step_up
16.252,15.7,30.0,89.4,57.0,1.086,-0.059,0.015,-1.53,-5.25,2.44,step_up
16.488,17.8,28.7,89.2,57.0,1.117,-0.061,0.007,-1.05,-3.0,3.78,step_up
16.723,19.0,30.2,89.4,57.9,1.088,-0.037,-0.014,1.4,-9.76,6.47,step_up
16.958,25.1,28.9,89.5,57.3,1.162,-0.09,-0.167,16.04,-8.83,7.24,step_up
17.193,31.2,29.5,90.6,57.8,1.076,-0.058,0.032,-12.79,11.44,-0.89,step_up
17.428,35.3,22.6,93.2,61.1,0.932,-0.034,0.006,4.27,21.31,-11.24,step_up
17.664,17.8,36.4,99.2,63.9,1.131,-0.078,0.022,-6.6,19.12,-1.66,step_up
17.901,25.7,33.3,96.4,60.4,1.051,-0.101,0.032,9.31,-12.42,5.69,step_up
18.136,18.4,30.9,98.2,61.1,1.009,-0.164,-0.019,-20.31,-2.16,1.59,step_up
18.37,19.0,30.4,99.3,60.8,1.072,-0.071,0.05,5.62,-3.63,-0.36,step_up
18.606,23.2,30.7,95.2,61.3,1.102,-0.042,-0.053,-9.37,-4.6,0.55,step_up
18.842,28.3,30.1,100.1,63.7,1.153,-0.051,-0.041,29.05,-14.72,-1.71,step_up
19.078,31.7,32.4,93.3,61.7,1.174,-0.068,-0.17,-6.73,-9.35,-5.36,step_up
19.313,36.9,26.9,99.3,63.1,0.873,-0.021,-0.064,-0.8,14.62,-11.13,step_up
19.549,22.2,33.7,91.5,69.0,1.056,0.017,-0.018,-0.71,1.47,6.79,step_up
19.785,15.7,35.1,96.1,66.1,1.085,-0.015,-0.012,11.72,0.85,-0.3,step_up
20.02,18.7,32.1,94.5,65.3,1.038,0.005,0.081,0.44,13.05,-5.86,step_up
20.257,22.1,31.3,91.0,66.0,1.08,0.014,0.064,-22.22,5.24,5.46,step_up
20.491,19.6,30.7,91.4,65.2,1.081,-0.01,-0.042,-6.46,-4.59,4.56,step_up
20.727,19.6,30.6,92.1,65.8,1.162,-0.052,-0.06,13.76,-8.92,3.56,step_up
20.962,26.3,30.4,97.5,66.0,1.043,0.04,-0.148,17.64,-9.5,11.39,step_up
21.198,32.8,31.8,93.5,61.2,1.188,0.03,-0.096,-31.79,20.68,-5.0,step_up
21.432,32.3,23.1,91.3,57.8,0.997,-0.046,-0.04,3.15,14.89,-5.86,step_up
21.669,16.7,35.0,89.4,57.3,1.057,-0.076,0.025,11.05,6.79,-3.04,step_up
21.904,34.9,29.6,89.5,56.7,0.979,0.429,-0.241,36.63,-14.35,12.22,step_up
22.139,15.3,28.4,89.7,57.1,1.14,0.088,-0.08,37.68,-7.44,0.72,step_up
22.373,14.8,29.1,89.5,57.8,1.175,-0.039,0.161,-15.37,-3.09,-1.99,step_up
22.609,20.9,29.8,88.4,59.7,1.117,-0.065,-0.032,-4.71,-18.27,-2.44,step_up
23.119,27.3,29.8,86.7,45.4,1.025,-0.058,-0.163,2.84,-5.09,8.98,step_up
23.353,25.1,18.8,91.3,65.2,1.086,-0.022,-0.03,-4.25,12.79,-5.31,step_up
23.588,12.3,31.0,90.7,63.8,1.052,-0.023,-0.001,4.36,11.73,-6.88,step_up
23.825,32.5,31.4,92.8,66.1,1.062,0.064,0.046,-17.92,-5.33,3.93,step_up
24.059,15.8,29.2,96.9,61.1,1.068,0.035,0.073,18.73,-6.11,-0.79,step_up
24.295,16.5,29.6,94.8,69.2,1.211,-0.036,-0.026,22.27,-11.05,6.67,step_up
24.53,25.8,29.8,92.0,67.3,0.912,-0.024,-0.253,33.16,-11.85,8.11,step_up
