timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.266,74.0,75.9,147.6,208.9,0.76,-0.029,0.672,-6.27,0.1,0.07,step_up
0.793,74.1,74.6,155.3,199.2,0.729,-0.084,0.623,0.82,0.31,-12.95,step_up
1.312,75.0,72.1,149.4,162.8,0.753,0.018,0.623,25.73,6.46,16.63,step_up
1.811,59.3,76.3,108.9,78.2,0.721,0.42,0.744,19.79,-0.38,23.06,step_up
2.161,58.2,72.2,134.9,71.0,0.654,-0.033,0.696,-6.66,1.92,-2.98,step_up
2.655,76.7,58.4,126.8,46.7,1.055,0.414,0.235,-23.52,0.26,-27.63,step_up
3.173,52.5,50.1,127.1,206.1,0.761,0.141,0.6,-7.72,-3.21,-11.08,step_up
3.689,45.9,43.9,132.2,191.3,0.448,-0.108,0.275,29.33,8.03,8.96,step_up
4.175,38.3,35.9,126.1,23.9,0.69,-0.156,0.718,2.66,-0.45,7.02,step_up
4.663,25.0,47.3,120.7,35.5,0.734,0.124,0.26,-7.79,1.16,-17.85,step_up
5.149,21.7,45.8,120.1,36.0,0.723,0.057,0.643,-11.25,-5.88,0.24,step_up
5.634,19.5,42.7,119.9,34.3,0.787,-0.021,0.685,-5.48,-5.32,2.31,step_up
6.126,18.5,41.9,122.6,59.1,0.843,-0.027,0.478,-17.53,-27.77,1.29,step_up
6.611,17.4,26.6,122.3,34.3,0.926,-0.117,0.425,-1.84,-8.6,-0.63,step_up
7.097,17.0,35.6,124.0,33.5,0.977,-0.015,0.323,2.08,-10.1,4.81,step_up
7.584,15.8,31.0,121.3,38.4,0.924,0.2,0.364,37.15,-6.52,-6.59,step_up
8.07,16.3,37.4,112.7,53.0,0.944,0.133,0.644,-8.5,-5.97,-0.11,step_up
8.556,16.2,35.2,123.3,35.9,1.006,0.131,0.193,-12.15,-4.36,0.64,step_up
9.041,18.6,32.4,123.9,35.7,1.027,-0.122,0.175,5.04,-13.33,8.0,step_up
9.529,16.7,31.6,124.9,39.8,1.042,-0.095,0.185,-2.3,-5.6,-1.56,step_up
10.019,15.2,30.7,129.3,40.1,1.151,0.085,0.306,-44.25,-1.62,-1.76,step_up
10.505,28.9,31.6,127.1,33.9,0.99,-0.087,-0.191,-15.22,0.34,-3.08,step_up
10.991,41.1,31.8,129.7,31.3,0.733,0.011,0.109,50.33,38.11,-1.76,step_up
11.476,27.4,24.4,126.1,34.1,1.038,-0.021,0.128,10.36,-3.47,-1.46,step_up
11.96,25.9,20.5,125.3,40.6,0.884,-0.006,0.142,1.12,20.08,0.37,step_up
12.447,13.8,28.9,122.4,45.6,1.073,-0.016,0.379,-5.78,16.36,0.89,step_up
12.934,17.9,32.4,121.2,41.2,1.036,-0.027,0.058,-1.02,-1.32,-2.17,step_up
13.42,15.3,32.7,120.8,40.7,1.026,0.024,0.183,-3.47,-0.21,1.03,step_up
13.906,15.9,32.7,126.6,37.4,1.036,-0.015,0.131,-1.22,-2.83,-0.41,step_up
14.393,15.2,30.0,122.1,45.5,1.035,-0.095,0.158,1.04,-13.95,3.47,step_up
14.876,12.1,28.1,120.7,34.0,1.064,-0.026,-0.073,-24.31,0.08,-0.44,step_up
15.363,11.1,27.9,105.1,55.9,1.069,0.062,-0.068,-6.89,-1.85,2.12,step_up
15.848,11.4,27.9,122.1,31.7,1.075,-0.017,-0.075,1.92,-0.41,-0.6,step_up
16.334,17.6,29.7,124.1,31.1,1.088,-0.001,-0.103,-20.33,-0.81,0.5,step_up
16.818,26.1,29.6,124.4,31.4,1.115,-0.026,-0.049,-7.53,-0.7,1.58,step_up
17.306,19.9,33.8,123.4,36.1,1.082,-0.046,-0.159,-2.84,16.94,3.98,step_up
17.789,21.5,16.0,122.4,34.1,1.044,-0.085,0.113,13.6,-0.19,-0.21,step_up
18.275,16.5,30.5,122.4,27.4,1.14,-0.087,0.048,-2.3,2.15,-0.21,step_up
18.759,15.2,30.1,120.6,27.6,0.546,-0.2,0.233,-3.09,-0.6,1.91,step_up
19.243,14.7,30.3,120.4,27.3,1.041,-0.024,0.19,-2.2,-1.38,-0.18,step_up
19.725,14.1,29.5,121.9,13.8,1.052,-0.049,0.091,-1.74,-2.21,3.64,step_up
20.209,13.0,28.4,122.4,28.2,1.054,-0.103,0.052,11.28,-8.15,0.27,step_up
20.691,11.3,24.4,119.5,29.3,1.067,-0.037,-0.067,-6.67,-4.82,0.15,step_up
21.172,11.3,27.3,120.2,27.9,1.062,-0.008,-0.04,-27.07,-1.05,0.43,step_up
21.657,12.1,28.8,122.2,27.7,1.06,-0.045,-0.058,-3.92,0.84,-6.25,step_up
22.143,22.8,29.6,123.8,26.8,1.066,-0.04,-0.035,1.05,-1.28,-0.72,step_up
22.627,29.0,30.2,124.2,29.3,1.058,-0.028,-0.109,-5.37,1.55,0.18,step_up
23.112,27.2,26.2,129.1,33.0,1.058,-0.038,-0.085,0.31,4.19,6.29,step_up
23.596,23.2,16.9,126.6,34.6,0.974,-0.107,0.138,14.92,24.62,3.66,step_up
24.565,15.5,30.8,121.5,36.1,1.041,-0.104,0.165,-7.93,-3.78,-1.89,step_up
24.565,15.1,29.8,122.0,35.6,1.034,-0.145,0.126,-1.31,-3.3,-1.64,step_up
25.05,14.7,29.3,124.2,36.3,1.046,0.008,0.075,-2.39,-5.83,-2.39,step_up
25.532,13.5,28.7,124.9,15.1,1.056,0.073,-0.263,-2.87,-10.7,6.89,step_up
26.017,11.5,27.9,123.8,35.3,1.068,-0.053,-0.053,4.89,-5.16,-1.23,step_up
26.5,11.2,27.6,131.7,23.1,1.069,-0.071,-0.114,-14.21,-2.5,-2.93,step_up
27.005,11.3,27.9,126.2,150.4,1.165,-0.064,-0.12,-14.09,-0.15,0.03,step_up
27.501,20.6,29.9,125.6,97.2,1.06,-0.055,-0.13,1.66,-2.11,-0.78,step_up
28.47,28.0,28.8,123.4,36.1,1.085,-0.054,-0.115,-4.18,-0.22,0.02,step_up
28.471,15.6,16.1,124.8,34.8,1.042,-0.313,0.183,-3.19,-1.56,0.77,step_up
28.956,10.7,33.6,120.3,37.2,1.038,-0.35,0.234,7.02,-2.01,-0.85,step_up
29.44,42.3,29.8,115.1,43.3,1.039,-0.133,0.175,1.79,-1.82,-1.99,step_up
29.933,14.1,16.0,114.2,102.3,1.052,-0.118,0.078,3.95,0.84,0.01,step_up
30.416,14.3,16.0,113.8,43.2,1.052,-0.016,0.097,-1.8,-1.18,-0.56,step_up
30.895,13.3,28.4,113.5,9.5,1.058,-0.025,0.007,1.39,-3.28,3.98,step_up
31.379,12.3,16.3,113.1,42.3,1.062,-0.055,-0.047,-5.36,-5.47,-1.07,step_up
32.329,11.7,16.0,113.3,33.2,1.047,-0.089,0.023,-12.43,-2.15,-0.44,step_up
32.33,11.4,28.2,63.0,16.5,1.147,-0.05,0.266,-8.42,1.77,-1.72,step_up
32.824,19.2,28.9,116.5,101.9,1.016,-0.025,-0.073,-4.99,-3.66,-0.89,step_up
33.32,30.7,30.3,114.7,102.1,1.085,-0.056,0.254,6.46,19.34,0.04,step_up
33.805,11.4,29.3,107.5,40.4,1.123,-0.323,-0.607,-16.38,-0.51,-1.72,step_up
34.29,18.5,25.9,104.4,42.0,0.394,0.371,2.0,-3.21,5.26,-7.02,step_up
34.773,15.1,30.4,103.2,43.7,1.065,0.18,0.043,11.02,-0.98,-0.38,step_up
35.256,15.3,29.6,102.4,45.1,1.053,-0.024,0.114,2.02,-2.38,-0.25,step_up
35.739,14.1,25.1,103.8,43.5,1.042,-0.266,0.267,-3.67,-8.45,-0.24,step_up
36.222,12.8,18.6,103.6,43.6,1.059,-0.029,-0.027,-3.73,-3.23,0.15,step_up
36.701,12.0,29.0,103.0,26.9,1.053,-0.087,0.065,-8.25,-2.76,-4.27,step_up
37.177,18.8,28.1,102.0,17.2,1.01,-0.058,-0.058,-7.71,-1.44,1.08,step_up
37.662,26.7,30.7,105.8,44.3,1.069,-0.082,-0.047,-5.6,0.1,0.79,step_up
38.148,35.3,29.8,105.9,49.3,0.964,-0.092,-0.225,7.92,39.81,1.35,step_up
38.634,22.6,16.9,109.5,56.3,0.906,-0.123,0.146,-3.13,8.79,0.34,step_up
39.119,11.0,22.6,104.2,55.1,1.023,-0.256,0.292,-2.58,-3.08,-0.65,step_up
39.604,36.0,29.8,108.7,51.1,0.962,-0.204,0.21,-1.47,-2.66,-1.89,step_up
40.089,14.4,29.9,107.5,51.6,1.045,-0.081,0.086,-12.09,-1.0,0.1,step_up
40.568,13.7,22.3,107.5,17.2,1.058,-0.087,0.008,0.7,-5.15,1.18,step_up
41.06,12.7,17.0,106.6,93.4,1.053,-0.06,0.033,2.95,-4.73,-0.08,step_up
41.538,11.9,16.9,109.4,18.1,1.062,-0.099,-0.047,-15.63,-1.94,-1.42,step_up
42.016,18.7,30.6,106.3,17.6,0.948,-0.099,-0.08,-3.69,-4.55,-1.31,step_up
42.496,27.4,32.6,106.7,16.3,1.054,-0.093,-0.059,-9.28,-3.84,-1.92,step_up
42.984,30.8,33.9,107.9,54.4,1.077,-0.146,0.279,13.34,34.35,4.85,step_up
43.464,12.0,16.9,88.0,55.6,1.06,-0.107,-0.005,-8.63,-2.14,-0.95,step_up
43.948,14.5,18.6,103.7,54.2,1.034,-0.033,0.143,-0.21,-1.33,-0.14,step_up
44.43,23.0,30.8,102.7,52.0,1.041,-0.101,0.101,5.05,-1.05,-1.88,step_up
44.911,14.9,30.8,102.5,42.3,1.049,-0.085,0.073,-2.27,0.73,-2.21,step_up
45.389,14.3,29.8,102.4,28.9,1.03,-0.076,0.052,-2.53,-5.14,2.18,step_up
45.865,13.9,29.5,102.8,20.7,1.042,-0.122,0.109,10.63,-6.19,0.67,step_up
46.344,12.4,29.5,102.5,31.3,1.055,-0.095,-0.011,-0.79,-5.28,-5.52,step_up
46.821,15.5,30.0,103.1,16.5,1.094,-0.01,-0.074,23.6,-6.39,-5.62,step_up
47.302,27.0,31.5,102.9,28.3,0.98,-0.083,-0.066,-5.77,-2.43,-2.85,step_up
47.782,23.4,18.9,98.2,49.7,1.025,-0.058,-0.111,-14.48,-8.6,-0.22,step_up
48.266,18.9,16.7,102.9,56.4,0.887,-0.035,-0.005,8.85,15.74,1.12,step_up
48.747,11.4,29.6,101.4,47.3,1.111,0.622,0.475,-10.25,-1.24,3.21,step_up
49.229,18.9,26.4,102.8,47.4,1.039,-0.183,0.071,-1.27,0.94,-0.14,step_up
49.712,14.7,31.9,102.8,47.0,1.049,-0.081,0.094,-10.64,-1.7,-2.79,step_up
