timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.221,66.5,350.7,157.5,400.0,0.734,0.23,0.63,-3.68,0.59,-0.56,stop
0.581,66.7,350.7,157.8,400.0,0.739,0.221,0.641,-1.87,0.53,-0.4,stop
0.941,67.0,350.7,157.4,400.0,0.737,0.222,0.632,-1.82,0.59,-0.3,stop
1.301,67.0,350.8,157.6,400.0,0.739,0.22,0.629,-2.2,0.39,0.0,stop
1.662,66.4,350.7,157.6,400.0,0.738,0.221,0.636,-1.95,0.02,-0.76,stop
2.021,66.9,350.7,157.9,400.0,0.738,0.223,0.638,-1.45,0.36,-0.03,stop
2.382,67.1,351.1,157.7,400.0,0.732,0.219,0.638,-2.76,0.17,-0.36,stop
2.741,66.5,351.2,157.7,400.0,0.737,0.222,0.639,-2.72,0.39,-0.44,stop
3.102,66.7,351.1,157.7,400.0,0.736,0.216,0.628,-2.18,0.5,-0.42,stop
3.461,66.3,351.1,158.2,400.0,0.738,0.219,0.63,-2.16,0.52,0.07,stop
3.822,67.0,351.4,157.8,400.0,0.733,0.213,0.638,-1.56,0.44,0.01,stop
4.181,67.8,351.3,157.9,400.0,0.733,0.223,0.63,-1.95,0.47,0.06,stop
4.542,66.9,351.1,158.2,400.0,0.733,0.225,0.627,-0.7,0.21,-0.15,stop
4.901,66.8,351.2,158.0,400.0,0.733,0.227,0.626,1.15,0.47,0.27,stop
5.262,67.4,349.8,157.5,400.0,0.738,0.233,0.624,0.38,0.28,0.16,stop
5.622,67.6,350.7,157.2,400.0,0.739,0.233,0.63,-3.17,0.35,-0.19,stop
5.981,67.2,349.6,157.4,400.0,0.731,0.238,0.633,-1.49,0.24,0.21,stop
6.342,67.0,348.0,157.5,400.0,0.732,0.221,0.628,-1.35,0.63,0.07,stop
6.702,66.8,347.9,157.4,400.0,0.73,0.233,0.641,-3.05,0.66,-0.22,stop
7.061,67.7,347.7,157.4,400.0,0.729,0.229,0.631,-2.08,0.4,-0.23,stop
7.422,66.8,347.9,157.9,400.0,0.736,0.236,0.641,-1.23,0.53,-0.26,stop
7.781,66.7,347.9,157.6,400.0,0.733,0.222,0.63,-3.38,0.54,-0.45,stop
8.142,67.3,349.0,157.4,400.0,0.737,0.237,0.626,-2.53,0.6,0.03,stop
8.501,67.6,347.9,157.5,400.0,0.734,0.223,0.62,-1.5,0.27,-0.15,stop
8.86,67.7,348.1,157.5,400.0,0.737,0.223,0.627,-2.07,0.51,-0.05,stop
9.22,67.3,350.1,157.9,400.0,0.73,0.225,0.628,-2.46,0.18,-0.34,stop
9.58,67.5,350.7,157.4,400.0,0.736,0.237,0.623,-3.77,-0.67,-0.33,stop
9.941,66.5,350.8,157.9,400.0,0.74,0.231,0.629,-2.44,0.38,-0.89,stop
10.3,67.0,350.7,157.5,400.0,0.738,0.23,0.635,-3.48,0.6,-0.83,stop
10.66,67.0,351.2,157.2,400.0,0.729,0.234,0.625,-1.69,1.4,-1.21,stop
11.02,67.6,350.8,156.8,400.0,0.734,0.231,0.624,-2.11,-0.52,0.27,stop
11.38,66.8,350.7,157.4,400.0,0.734,0.237,0.613,-4.27,0.37,-0.6,stop
11.74,68.1,350.6,157.4,400.0,0.734,0.223,0.61,-1.47,0.66,-0.29,stop
12.101,67.4,350.8,158.1,400.0,0.732,0.199,0.662,-11.85,-0.57,0.68,stop
12.462,66.8,350.6,158.0,400.0,0.735,0.186,0.635,-2.25,0.44,-0.17,stop
12.823,66.9,350.6,157.9,400.0,0.735,0.191,0.658,-1.67,1.65,0.19,stop
13.184,66.9,351.0,158.5,400.0,0.731,0.214,0.637,-5.85,2.33,-0.81,stop
13.544,67.9,350.6,158.2,400.0,0.729,0.179,0.64,-1.93,0.71,-0.59,stop
