timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.229,81.3,400.0,252.6,74.3,0.676,0.195,0.742,-9.67,2.41,-0.74,step_down
0.84,81.7,400.0,262.0,74.1,0.662,0.177,0.629,-12.76,-0.85,-1.59,step_down
1.244,76.4,400.0,104.6,77.8,0.688,-0.25,0.866,46.87,-39.27,7.64,step_down
1.902,400.0,400.0,74.9,77.8,0.718,0.14,0.538,-3.05,-3.29,-6.09,step_down
2.56,400.0,400.0,90.9,66.3,0.662,0.168,0.739,-16.11,-0.78,-18.47,step_down
3.85,400.0,29.3,75.8,68.9,0.764,0.139,0.579,35.13,-20.66,29.39,step_down
3.851,400.0,400.0,78.8,68.1,0.774,0.115,0.626,-51.73,3.63,-4.07,step_down
4.458,354.4,118.6,81.7,67.9,0.479,0.182,0.835,-129.5,10.14,0.17,step_down
5.063,310.9,81.3,96.0,65.7,0.73,-0.109,0.448,14.72,-26.56,1.6,step_down
5.671,273.4,105.0,90.7,70.5,0.797,-0.093,0.549,-29.62,-34.13,1.95,step_down
6.279,308.2,97.3,88.0,63.0,0.615,-0.093,0.6,9.1,14.67,-1.77,step_down
6.939,357.3,400.0,87.8,73.8,0.79,0.078,0.518,58.23,-6.85,5.36,step_down
7.598,238.8,400.0,85.9,73.4,0.816,0.136,0.641,-0.01,-0.06,5.86,step_down
8.234,363.9,54.5,78.1,64.2,0.91,0.104,0.379,2.05,-11.21,0.75,step_down
8.889,271.8,400.0,77.6,68.1,0.81,0.277,0.536,9.69,-11.05,-5.98,step_down
9.544,133.0,400.0,78.4,67.6,0.888,0.098,0.56,-17.56,3.88,-7.98,step_down
10.199,303.0,400.0,83.3,60.5,0.724,0.269,2.0,-6.51,-5.08,4.1,step_down
10.838,301.4,114.8,84.6,65.3,0.812,0.116,0.459,12.69,-7.2,5.77,step_down
11.493,130.3,400.0,84.9,66.3,0.954,0.04,0.454,-15.74,2.5,-2.14,step_down
12.125,288.5,168.1,84.9,68.6,0.732,0.132,0.844,-24.37,0.03,-7.84,step_down
12.761,340.2,69.3,83.3,71.8,0.785,0.115,0.384,28.4,-29.28,8.86,step_down
13.418,128.1,375.5,86.2,67.3,0.955,0.102,0.495,-2.35,2.44,-1.24,step_down
14.073,258.4,400.0,80.9,63.3,0.916,0.103,0.49,-22.64,-2.27,4.0,step_down
14.729,191.1,400.0,80.5,64.2,0.819,0.108,0.516,21.98,-5.92,6.22,step_down
15.382,118.0,348.5,82.9,63.7,0.752,0.07,0.665,-15.05,11.86,-6.8,step_down
16.031,230.2,337.3,83.9,64.8,0.958,-0.045,-0.029,7.93,-2.29,-3.3,step_down
16.688,189.0,400.0,86.2,66.2,0.825,0.126,0.361,0.22,-4.47,0.43,step_down
17.326,128.3,286.9,88.4,60.5,0.842,0.079,0.475,-15.0,6.15,-4.98,step_down
17.962,192.8,276.9,85.4,71.9,0.837,0.132,0.564,-11.83,1.41,1.47,step_down
18.613,183.4,280.7,86.6,63.3,0.926,0.155,0.56,14.15,2.66,-0.06,step_down
19.248,114.6,259.7,86.7,68.3,1.071,0.036,0.644,-3.82,8.23,0.36,step_down
19.887,165.8,257.7,84.3,68.2,0.77,0.1,0.59,-9.78,7.76,-12.15,step_down
20.514,133.9,234.9,80.1,66.3,0.899,0.141,0.496,-3.35,-4.37,4.55,step_down
21.142,118.8,230.2,80.2,66.7,0.803,0.087,0.506,-9.89,8.49,-2.74,step_down
21.768,160.9,222.3,84.0,64.6,0.718,0.031,0.492,-9.84,-5.08,3.08,step_down
22.391,104.8,208.6,85.5,67.2,0.807,0.083,0.51,50.62,-8.83,7.59,step_down
23.018,88.3,203.4,87.1,60.5,0.842,0.048,0.542,-9.66,4.23,-5.78,step_down
23.642,91.5,189.7,87.2,71.1,0.83,0.132,0.632,20.29,10.49,-2.05,step_down
24.259,63.4,174.4,85.5,65.6,0.893,0.11,0.4,-0.89,-6.73,4.1,step_down
24.879,49.4,169.1,86.3,70.9,0.883,0.073,0.34,-25.13,-8.27,3.2,step_down
25.498,46.0,167.1,89.3,68.9,1.008,0.037,0.593,-14.56,3.77,3.63,step_down
26.108,73.2,131.8,83.2,65.5,0.816,0.009,0.475,-0.92,-7.58,-1.9,step_down
26.639,64.8,105.4,261.6,74.4,0.66,-0.074,0.717,5.56,6.21,-2.95,step_down
27.167,69.6,85.2,261.7,96.6,0.713,0.035,0.728,0.51,6.32,-12.38,step_down
27.542,81.6,64.4,253.8,105.3,0.541,0.372,0.806,-7.16,1.66,8.39,step_down
27.918,70.6,58.2,245.4,121.3,0.688,-0.335,0.743,-5.7,2.02,13.97,step_down
28.197,57.1,56.3,218.3,154.3,0.356,0.323,0.815,39.4,7.37,65.28,step_down
28.482,67.5,62.3,230.4,184.4,0.692,0.065,0.78,2.12,-0.11,53.24,step_down
28.77,72.9,66.6,229.6,184.5,0.722,0.265,0.562,-44.4,3.15,8.82,step_down
29.038,70.7,62.7,229.0,84.5,0.716,0.099,0.719,-26.04,2.14,-12.32,step_down
29.3,70.6,53.0,218.3,75.2,0.708,-0.028,0.678,-3.56,1.32,-19.18,step_down
29.81,59.7,44.3,221.0,67.4,0.679,0.042,0.73,-4.1,-0.61,-11.4,step_down
30.317,41.7,33.3,208.1,61.3,0.704,-0.033,0.699,-3.52,-0.89,-3.63,step_down
30.83,41.3,37.2,236.5,77.8,0.75,-0.105,0.636,15.05,7.84,27.23,step_down
