timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.036,400.0,119.0,76.4,83.0,0.453,0.308,0.903,-12.89,-5.54,35.65,step_down
0.679,397.2,154.4,81.2,68.3,0.684,-0.087,0.694,-17.05,7.93,-32.27,step_down
1.293,278.8,148.0,84.9,72.2,0.75,-0.197,0.726,17.46,1.18,13.49,step_down
1.95,154.7,400.0,70.3,70.7,0.696,0.046,0.808,-47.37,5.55,-16.78,step_down
2.554,346.7,85.4,92.7,54.1,1.349,0.203,0.449,-68.24,5.69,16.66,step_down
3.167,269.0,130.1,91.6,70.3,0.506,-0.174,0.64,21.65,13.95,9.64,step_down
3.819,400.0,400.0,84.8,47.7,0.464,-0.082,0.254,-39.08,-4.11,-8.69,step_down
4.429,214.2,111.8,92.7,58.0,0.718,-0.317,0.666,25.61,-18.85,28.25,step_down
4.696,146.7,118.4,86.7,58.1,0.819,-0.151,0.579,-7.04,-0.8,-1.27,step_down
4.992,138.9,400.0,85.6,60.9,1.006,-0.162,0.83,-8.24,-4.98,-1.94,step_down
5.646,124.3,400.0,84.0,62.0,0.845,-0.016,0.697,9.68,-9.82,-6.05,step_down
6.3,132.0,400.0,87.8,40.0,0.827,-0.22,0.678,-42.12,-14.92,-3.04,step_down
6.957,159.0,400.0,96.6,58.1,0.813,-0.161,0.558,-11.73,13.18,-4.74,step_down
7.568,239.1,136.4,93.7,42.9,0.892,-0.135,0.466,-9.13,-34.07,-4.44,step_down
8.226,120.5,400.0,90.1,60.2,0.894,-0.149,0.642,-14.24,-4.95,-2.77,step_down
8.834,81.4,99.4,100.2,59.0,0.914,-0.179,0.207,21.79,-1.26,-5.95,step_down
9.489,78.4,400.0,97.9,39.3,0.915,-0.173,0.402,-18.63,0.39,-4.31,step_down
10.147,79.4,400.0,93.8,66.4,0.929,-0.178,0.382,0.0,-6.79,2.77,step_down
10.65,75.2,173.0,91.6,33.6,0.959,-0.063,0.354,-53.09,6.8,-4.3,step_down
11.176,76.5,139.6,90.8,22.2,0.989,-0.043,-0.148,-58.01,3.13,13.93,step_down
11.781,109.2,111.1,102.4,31.7,0.972,-0.061,0.252,9.76,-14.13,-3.16,step_down
12.281,141.7,149.5,100.3,34.8,1.396,-0.054,0.622,-12.17,-2.05,-2.47,step_down
12.815,194.2,145.3,100.0,55.6,0.911,-0.119,0.346,-0.74,-14.54,3.31,step_down
13.316,106.6,142.6,93.4,44.6,0.846,-0.147,0.543,4.17,-8.0,6.5,step_down
13.974,65.9,400.0,97.6,67.3,0.94,-0.272,0.444,4.5,2.34,-1.45,step_down
14.632,77.0,400.0,87.0,62.5,0.929,-0.286,0.302,14.49,-3.97,-5.52,step_down
15.284,71.6,400.0,86.3,36.7,0.977,-0.2,0.309,-21.92,-6.18,-2.9,step_down
15.933,70.5,400.0,90.0,19.6,0.948,-0.394,0.416,28.51,-1.08,9.33,step_down
16.538,120.1,117.5,90.1,36.4,0.912,-0.283,0.717,-15.7,4.47,-6.49,step_down
17.14,116.2,93.6,92.4,35.8,0.844,0.023,0.629,10.39,6.27,-5.48,step_down
17.769,81.2,150.4,88.5,56.7,0.998,-0.078,0.527,18.39,-9.0,6.15,step_down
18.384,81.4,144.4,90.1,57.9,0.885,-0.124,0.217,17.98,-17.24,4.02,step_down
19.039,76.3,400.0,85.7,57.7,0.933,-0.061,0.309,-5.26,-18.5,-6.36,step_down
19.692,65.5,400.0,86.6,36.9,0.997,-0.05,0.266,4.14,-1.29,1.7,step_down
20.342,66.8,400.0,88.2,20.9,0.972,-0.11,0.462,5.44,-1.2,-2.2,step_down
20.977,126.0,100.7,100.6,34.8,1.018,-0.068,0.194,-20.16,-8.77,-9.92,step_down
21.521,111.1,400.0,107.4,38.5,0.931,-0.066,0.517,4.61,9.87,0.7,step_down
22.175,114.1,400.0,103.0,36.1,0.878,-0.107,0.298,7.36,-4.21,-2.35,step_down
22.788,73.7,133.2,98.9,53.3,0.991,-0.12,0.388,26.17,-8.56,7.11,step_down
