timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.607,55.0,150.8,30.8,181.6,1.034,0.313,0.074,31.05,1.24,3.05,right_turn
1.253,68.4,141.9,117.6,221.0,0.974,0.136,0.438,-24.84,30.05,-5.98,right_turn
1.865,91.2,88.6,113.3,79.9,0.297,2.0,0.892,124.27,-16.28,38.69,right_turn
2.512,84.7,144.9,105.1,230.3,0.92,0.355,0.228,-250.14,4.78,-1.8,right_turn
3.794,88.1,122.9,115.1,208.4,0.854,0.247,0.569,0.46,17.86,-8.39,right_turn
3.795,120.0,111.4,114.6,220.4,0.779,0.095,0.378,-14.47,6.91,-27.68,right_turn
4.43,99.5,106.3,108.1,205.6,0.765,0.156,0.467,-19.41,11.78,-17.21,right_turn
5.064,97.1,100.5,105.7,207.7,0.882,0.03,0.518,20.34,6.47,-0.81,right_turn
5.677,99.3,79.8,96.4,105.8,0.839,0.15,0.453,64.06,5.34,26.92,right_turn
6.183,98.6,74.0,98.6,133.2,0.691,-0.007,0.335,23.37,10.66,2.67,right_turn
6.685,91.4,70.0,80.2,124.0,0.762,0.497,0.304,-33.89,-10.43,0.37,right_turn
7.801,74.8,68.8,86.8,166.9,0.802,0.06,0.41,-56.02,10.12,-62.25,right_turn
7.803,129.3,98.9,98.0,51.0,0.878,-0.075,0.587,-29.6,-25.6,-31.93,right_turn
8.41,160.7,98.3,97.8,57.3,0.826,0.013,0.387,-13.66,-2.19,-23.93,right_turn
8.906,113.3,86.8,97.5,56.0,0.846,0.06,0.46,19.5,2.11,-14.89,right_turn
9.43,105.8,87.9,100.2,54.1,0.875,0.149,0.541,-27.79,-4.41,-6.15,right_turn
9.955,121.1,79.8,109.5,45.1,0.861,0.129,0.5,1.11,-3.85,-17.05,right_turn
10.48,95.7,89.9,117.1,45.3,0.861,0.096,0.586,-2.71,-7.82,-1.9,right_turn
11.01,116.5,85.7,129.2,56.4,0.903,0.139,0.522,-42.31,-5.25,-1.45,right_turn
11.539,98.1,88.2,135.1,52.4,1.051,0.17,0.464,-62.77,2.78,-4.36,right_turn
12.033,49.2,55.2,112.9,65.1,0.993,-0.075,0.705,10.95,-4.56,-5.35,right_turn
12.521,25.4,45.1,105.3,49.9,0.947,0.017,0.342,-32.58,-8.33,-31.29,right_turn
13.006,20.8,29.8,112.7,43.6,1.035,0.251,0.287,25.82,-5.31,-6.14,right_turn
13.493,18.8,41.2,113.0,44.6,0.989,0.042,0.268,1.18,-2.76,0.09,right_turn
